Occupation,Median,Employment,OCC_CODE,Employment_Rank,education,Automation_Risk
"Makeup Artists, Theatrical and Performance",96370,2970.0,39-5091,534.0,3.1738,0.01
"Education Administrators, Postsecondary",99940,167060.0,11-9033,129.0,9.2528,0.01
Mechanical Engineers,96310,277560.0,17-2141,90.0,5.8789,0.011
Pharmacists,132750,325480.0,29-1051,79.0,10.286,0.012
Logisticians,77520,202970.0,13-1081,113.0,5.2497,0.012
Microbiologists,81990,19710.0,19-1022,383.0,7.261799999999999,0.012
Coaches and Scouts,44890,218970.0,27-2022,105.0,5.7663,0.013
Sales Managers,130600,536390.0,11-2022,41.0,6.044199999999999,0.013
Hydrologists,85990,6270.0,19-2043,500.0,7.347900000000001,0.014
Marketing Managers,140040,328570.0,11-2021,76.0,6.680499999999999,0.014
Marriage and Family Therapists,56570,62080.0,21-1013,244.0,8.3768,0.014
