Date,Adj Close,Close,High,Low,Open,Midmarket_Rate
2017-08-01,0.009784,0.009784,0.009833,0.009743,0.009783,0.009788
2017-08-02,0.009788,0.009788,0.009832,0.009752,0.009788,0.009792
2017-08-03,0.009789,0.009789,0.009832,0.009739,0.009789,0.009785
2017-08-04,0.009782,0.009782,0.009836,0.009748,0.00979,0.009792
2017-08-07,0.00979,0.00979,0.009832,0.009634,0.009787,0.009733
2017-08-08,0.00979,0.00979,0.009822,0.009747,0.00979,0.009784
2017-08-09,0.00979,0.00979,0.009827,0.00975,0.009785,0.009789
2017-08-10,0.009789,0.009789,0.009832,0.009728,0.009794,0.00978
2017-08-11,0.009795,0.009795,0.009836,0.009748,0.009792,0.009792
2017-08-14,0.009789,0.009789,0.009841,0.009736,0.009792,0.009789
2017-08-15,0.0098,0.0098,0.009846,0.009763,0.009793,0.009804
2017-08-16,0.0098,0.0098,0.009856,0.009768,0.009801,0.009812
