COU,Partner country/territory,COUNTERPART_AREA,Year,Value
GBR,Bulgaria,BGR,2021,-3.9243284429161
GBR,Panama,PAN,2021,-4.3452953727648
GBR,Lebanon,LBN,2021,-4.5537237537827
GBR,Austria,AUT,2021,-4.5862039257221
GBR,Anguilla,AIA,2021,-4.7525913878955
GBR,Seychelles,SYC,2021,-5.1187278390646
GBR,Kuwait,KWT,2021,-5.9073433452545
GBR,Finland,FIN,2021,-6.0811923548831
GBR,Hungary,HUN,2021,-6.1679447248968
GBR,Kuwait,KWT,2021,-6.8913675928473
GBR,Czech Republic,CZE,2021,-7.4875866382393
GBR,Lebanon,LBN,2021,-7.7878501636864
GBR,Bahamas,BHS,2021,-8.1135738088033
GBR,Poland,POL,2021,-10.15530098762
GBR,"Virgin Islands, British",VGB,2021,-11.55446352132
GBR,Kuwait,KWT,2021,-12.798710938102
GBR,Russian Federation,RUS,2021,-13.397050628611
GBR,Gibraltar,GIB,2021,-14.206825873453
GBR,New Zealand,NZL,2021,-17.244961224209
