latitude,longitude,accessibility_type_group_text
55.11634,-1.516218,Private
55.11634,-1.516218,Public Access
55.11634,-1.516218,Private
55.12881,-1.550962,Private
53.7641,-1.696894,Public Access
53.7641,-1.696894,Private
53.7641,-1.696894,Private
53.7641,-1.696894,Public Access
52.96863,-1.214738,Private
52.96863,-1.214738,Private
52.96863,-1.214738,Private
52.96863,-1.214738,Private
52.58858,-2.018578,Public Access
53.49756,-3.000242,Not Known
50.91191,-3.233045,Private
51.51503,-0.4717072,Public Access
51.4956,-0.09019228,Public Access
52.76642,-0.8917055,Public Access
52.76642,-0.8917055,Public Access
52.76642,-0.8917055,Public Access
51.51503,-0.4717072,Public Access
52.76642,-0.8917055,Public Access
52.76642,-0.8917055,Public Access
51.51503,-0.4717072,Public Access
52.76642,-0.8917055,Public Access
51.51503,-0.4717072,Public Access
51.4956,-0.09019228,Public Access
53.53542,-1.057289,Public Access
54.9459,-1.431575,Public Access
50.74083,-1.655706,Private
53.40136,-2.908341,Public Access
53.40136,-2.908341,Public Access
54.43413,-2.96788,Public Access
51.30342,0.4627257,Public Access
54.43413,-2.96788,Public Access
53.79798,-1.514537,Public Access
51.13593,0.2868743,Private
51.15039,-0.4934827,Public Access
51.61481,-0.7844395,Public Access
51.61481,-0.7844395,Public Access
51.74169,-1.263692,Private
51.67194,-1.365211,Private
53.43323,-1.48696,Private
53.4532,-2.122583,Public Access
52.05478,1.164766,Private
53.41478,-2.220173,Public Access
54.43413,-2.96788,Public Access
53.52819,-1.125565,Public Access
54.5079,-1.535132,Public Access
51.74169,-1.263692,Private
53.19952,-0.4666877,Private
51.61481,-0.7844395,Public Access
51.51643,-1.255564,Public Access
51.61481,-0.7844395,Public Access
52.36441,0.5128549,Public Access
51.61481,-0.7844395,Public Access
51.74169,-1.263692,Private
52.36441,0.5128549,Public Access
52.63228,-1.661284,Public Access
51.0913,0.6513134,Public Access
51.37766,-0.1748844,Public Access
51.37766,-0.1748844,Public Access
53.10025,-2.321518,Public Access
52.6022,-2.5556,Public Access
52.6022,-2.5556,Public Access
54.9737,-1.61543,Public Access
52.6022,-2.5556,Public Access
52.6022,-2.5556,Public Access
52.6022,-2.5556,Public Access
52.6022,-2.5556,Public Access
52.6022,-2.5556,Public Access
52.58264,-2.052226,Public Access
52.58264,-2.052226,Public Access
52.58264,-2.052226,Public Access
53.39579,-2.964844,Private
53.57354,-2.422127,Public Access
51.54995,-0.4691033,Private
53.57354,-2.422127,Public Access
51.28794,0.207955,Private
53.56684,-2.202421,Private
53.57354,-2.422127,Public Access
51.28794,0.207955,Private
51.28794,0.207955,Public Access
53.57354,-2.422127,Public Access
51.28794,0.207955,Private
53.523,-2.131016,Public Access
51.28794,0.207955,Private
53.56684,-2.202421,Private
53.56684,-2.202421,Private
51.5962,-0.1165315,Public Access
52.28342,-1.783039,Public Access
53.56684,-2.202421,Private
51.28794,0.207955,Private
51.43579,0.1078085,Public Access
53.59412,-2.406896,Private
52.58025,-1.824882,Private
54.54484,-1.265723,Public Access
51.42294,0.3978128,Public Access
54.28486,-0.4006735,Public Access
52.96382,-1.234909,Private
53.79398,-2.294041,Private
50.80261,-1.168633,Private
51.40979,-0.131185,Public Access
52.08512,-1.938786,Public Access
52.4482,0.05245917,Public Access
51.0156,-4.225239,Private
53.59412,-2.406896,Private
54.76417,-3.333896,Public Access
51.6059,-0.3561239,Public Access
52.208,0.1360701,Public Access
52.4482,0.05245917,Public Access
52.23928,0.4116685,Public Access
54.12583,-2.760999,Public Access
53.78366,-2.228256,Public Access
53.59412,-2.406896,Private
