LSOA21CD,LSOA21NM,LAD24CD,LAD24NM,imd_rank,imd_decile,population,rurality_score,pct_rural,dominant_ruc,urban_rural_flag,town,dist_to_centre_km,dist_to_coast_km,coastal
E01027890,Selby 010B,E06000065,North Yorkshire,20485,7,2440,70.0,100.0,Larger rural: Nearer to a major town or city,Rural,Selby,7.534318420937485,0.16515513758748243,Coastal (≤5 km)
E01027891,Selby 009A,E06000065,North Yorkshire,18085,6,1726,62.5,100.0,Smaller rural: Nearer to a major town or city,Rural,Selby,11.87317217983006,7.33726439743262,Inland
E01027892,Selby 009B,E06000065,North Yorkshire,10021,3,1827,58.57142857142857,100.0,Smaller rural: Nearer to a major town or city,Rural,Selby,14.8500548317672,10.5952445689422,Inland
E01027893,Selby 009C,E06000065,North Yorkshire,27906,9,2375,57.5,100.0,Larger rural: Nearer to a major town or city,Rural,Selby,6.450247360147647,5.704794704296639,Inland
E01027894,Selby 007D,E06000065,North Yorkshire,23778,8,2933,80.0,100.0,Larger rural: Further from a major town or city,Rural,Selby,4.064268526763863,4.183393477510703,Coastal (≤5 km)
E01027895,Selby 007E,E06000065,North Yorkshire,20105,6,1478,90.0,100.0,Smaller rural: Further from a major town or city,Rural,Selby,4.740613476065938,2.6100109236219273,Coastal (≤5 km)
E01027896,Selby 008D,E06000065,North Yorkshire,21511,7,1977,55.0,100.0,Larger rural: Nearer to a major town or city,Rural,Selby,7.239492863346976,1.5443941982351386,Coastal (≤5 km)
E01027897,Selby 008E,E06000065,North Yorkshire,24661,8,2252,40.833333333333336,66.66666666666666,Smaller rural: Nearer to a major town or city,Rural,Selby,4.828462910952984,2.4736277239681375,Coastal (≤5 km)
E01027899,Selby 009D,E06000065,North Yorkshire,28722,9,1737,59.0,100.0,Smaller rural: Nearer to a major town or city,Rural,Selby,10.437024094995024,7.494679903736125,Inland
E01027900,Selby 003C,E06000065,North Yorkshire,22547,7,2076,55.0,100.0,Larger rural: Nearer to a major town or city,Rural,Selby,9.090181282552358,5.711435954061626,Inland
E01027901,Selby 003D,E06000065,North Yorkshire,30567,10,1804,50.0,100.0,Larger rural: Nearer to a major town or city,Rural,Selby,6.33130935992298,1.1329673621164722,Coastal (≤5 km)
