Date,Value,Series,Date Label
2002-07-01,872,Other,2002 Q3
2002-10-01,844,Other,2002 Q4
2003-01-01,848,Other,2003 Q1
2003-04-01,854,Other,2003 Q2
2003-07-01,870,Other,2003 Q3
2003-10-01,893,Other,2003 Q4
2004-01-01,897,Other,2004 Q1
2004-04-01,902,Other,2004 Q2
2004-07-01,897,Other,2004 Q3
2004-10-01,898,Other,2004 Q4
2005-01-01,916,Other,2005 Q1
2005-04-01,877,Other,2005 Q2
2005-07-01,846,Other,2005 Q3
2005-10-01,859,Other,2005 Q4
2006-01-01,851,Other,2006 Q1
2006-04-01,857,Other,2006 Q2
2006-07-01,875,Other,2006 Q3
2006-10-01,873,Other,2006 Q4
2007-01-01,874,Other,2007 Q1
2007-04-01,874,Other,2007 Q2
2007-07-01,893,Other,2007 Q3
2007-10-01,870,Other,2007 Q4
2008-01-01,863,Other,2008 Q1
2008-04-01,843,Other,2008 Q2
2008-07-01,814,Other,2008 Q3
2008-10-01,787,Other,2008 Q4
2009-01-01,773,Other,2009 Q1
2009-04-01,813,Other,2009 Q2
2009-07-01,788,Other,2009 Q3
2009-10-01,761,Other,2009 Q4
2010-01-01,797,Other,2010 Q1
2010-04-01,811,Other,2010 Q2
2010-07-01,809,Other,2010 Q3
2010-10-01,864,Other,2010 Q4
2011-01-01,810,Other,2011 Q1
2011-04-01,803,Other,2011 Q2
2011-07-01,798,Other,2011 Q3
2011-10-01,826,Other,2011 Q4
2012-01-01,786,Other,2012 Q1
2012-04-01,800,Other,2012 Q2
2012-07-01,809,Other,2012 Q3
2012-10-01,756,Other,2012 Q4
2013-01-01,809,Other,2013 Q1
2013-04-01,818,Other,2013 Q2
2013-07-01,798,Other,2013 Q3
2013-10-01,786,Other,2013 Q4
2014-01-01,825,Other,2014 Q1
2014-04-01,815,Other,2014 Q2
2014-07-01,847,Other,2014 Q3
2014-10-01,856,Other,2014 Q4
2015-01-01,863,Other,2015 Q1
2015-04-01,871,Other,2015 Q2
2015-07-01,882,Other,2015 Q3
2015-10-01,927,Other,2015 Q4
2016-01-01,943,Other,2016 Q1
2016-04-01,956,Other,2016 Q2
2016-07-01,988,Other,2016 Q3
2016-10-01,1020,Other,2016 Q4
2017-01-01,961,Other,2017 Q1
2017-04-01,951,Other,2017 Q2
2017-07-01,964,Other,2017 Q3
2017-10-01,940,Other,2017 Q4
2018-01-01,972,Other,2018 Q1
2018-04-01,989,Other,2018 Q2
2018-07-01,990,Other,2018 Q3
2018-10-01,992,Other,2018 Q4
2019-01-01,995,Other,2019 Q1
2019-04-01,983,Other,2019 Q2
2019-07-01,974,Other,2019 Q3
2019-10-01,947,Other,2019 Q4
2020-01-01,985,Other,2020 Q1
2020-04-01,1293,Other,2020 Q2
2020-07-01,1150,Other,2020 Q3
2020-10-01,1139,Other,2020 Q4
2021-01-01,1134,Other,2021 Q1
2021-04-01,1075,Other,2021 Q2
2021-07-01,1066,Other,2021 Q3
2021-10-01,1148,Other,2021 Q4
2022-01-01,1092,Other,2022 Q1
2022-04-01,1034,Other,2022 Q2
2022-07-01,1016,Other,2022 Q3
2022-10-01,1108,Other,2022 Q4
2023-01-01,1033,Other,2023 Q1
