Code,Name,Borrowing,Assets,Population,Income,DebtToAssets,DebtToAssetsRank,DebtToPop,DebtToIncome,PopulationChange,Country,lad
E1433,Hastings,64932,42739,,,1.519268116,263,,,,E,E07000062
E3640,Waverley,149771,99000,,,1.512838384,264,,,,E,E07000216
E3036,Newark & Sherwood,89685,59365,,,1.510738651,265,,,,E,E07000175
W7404,Rhondda Cynon Taff,287264,190777,,,1.505758032,266,,,,W,W06000016
W7401,Bridgend,96867,64500,,,1.501813953,267,,,,W,W06000013
E2901,Northumberland,680850,456224,,,1.492359017,268,,,,E,E06000057
E1502,Thurrock,1395889,959964,,,1.454105571,270,,,,E,E06000034
E3035,Mansfield,75356,52500,,,1.435352381,272,,,,E,E07000174
E0701,Hartlepool,84098,59244,,,1.419519276,273,,,,E,E06000001
E0902,Westmorland and Furness,187279,137646,,,1.360584398,274,,,,E,E06000064
N9708,Lisburn and Castlereagh,20582,15250,,,1.349639344,275,,,,N,N09000007
E2534,North Kesteven,86833,65950,,,1.316648976,278,,,,E,E07000139
E3431,Cannock Chase,81605,62998,,,1.295358583,279,,,,E,E07000192
E3131,Cherwell,166000,129239,,,1.284442003,280,,,,E,E07000177
W7303,Gwynedd,241592,197275,,,1.224645799,281,,,,W,W06000002
E0202,Bedford,72390,59788,,,1.210778083,282,,,,E,E06000055
E0201,Luton,712168,593109,,,1.200737133,283,,,,E,E06000032
E5014,Hammersmith & Fulham,267453,229100,,,1.167407246,284,,,,E,E09000013
E2432,Charnwood,81190,72230,,,1.124048179,289,,,,E,E07000130
E2437,North West Leicestershire,60528,54300,,,1.114696133,290,,,,E,E07000134
E4208,Tameside,141877,127689,,,1.111113722,291,,,,E,E08000008
E2436,Melton,31413,28370,,,1.107261191,292,,,,E,E07000133
E1436,Rother,31688,29727,,,1.065966966,294,,,,E,E07000064
E2536,South Kesteven,84602,79376,,,1.065838541,295,,,,E,E07000141
E1933,East Hertfordshire,36500,34363,,,1.062188982,296,,,,E,E07000242
E4303,St Helens,136515,130755,,,1.044051853,297,,,,E,E08000013
E3731,North Warwickshire,41979,41350,,,1.015211608,301,,,,E,E07000218
E1931,Broxbourne,57650,57000,,,1.011403509,302,,,,E,E07000095
E0401,Milton Keynes,418950,417588,,,1.003261588,305,,,,E,E06000042
E1133,Mid Devon,34330,34301,,,1.000845456,306,,,,E,E07000042
E2537,West Lindsey,19000,19452,,,0.976763315,310,,,,E,E07000142
E4602,Coventry,249077,256100,,,0.972577118,311,,,,E,E08000026
E1131,East Devon,83108,85698,,,0.969777591,312,,,,E,E07000040
E3439,Tamworth,63060,66793,,,0.94411091,313,,,,E,E07000199
E0103,South Gloucestershire,110221,117042,,,0.941721775,314,,,,E,E06000025
E1140,West Devon,27726,29544,,,0.938464663,315,,,,E,E07000047
E1534,Castle Point,32400,35050,,,0.924393723,316,,,,E,E07000069
E3733,Rugby,83299,97647,,,0.853062562,324,,,,E,E07000220
E2401,Leicester,171265,203592,,,0.841216747,325,,,,E,E06000016
E4201,Bolton,178000,222228,,,0.800979175,329,,,,E,E08000001
E5011,Camden,314965,406793,,,0.774263569,333,,,,E,E09000007
E5047,Richmond upon Thames,117446,153000,,,0.767620915,334,,,,E,E09000027
E2702,North Yorkshire,453412,651729,,,0.695706344,337,,,,E,E06000065
E5013,Hackney,63850,92500,,,0.69027027,338,,,,E,E09000012
